3433,Student's Encyclopedia of General Knowledge (General Press),by Azeem Ahmad Khan,4.1,189.0,9380914199,131.0
3474,A Complete Resource for CTET: Child Development and Pedagogy,by Sandeep Kumar,3.9,67.0,9332541302,125.0
1330,The Jungle Book (First Stories),by Miriam Bos,4.4,71.0,1509808361,224.0
2307,The Great Gatsby,F. Scott Fitzgerald,4.1 out of 5 stars,338,8172344562,47.0
2302,1984,George Orwell,4.4 out of 5 stars,738,8192910903,88.0
3547,Jane Eyre,by Charlotte Bronte,4.3,183.0,8193387619,88.0
3549,Metamorphosis,by Franz Kafka,4.2,198.0,8172345135,69.0
3554,Three Men in a Boat,by Jerome K. Jerome,4.3,201.0,8172344430,99.0
3562,Macbeth,by William Shakespeare,4.3,89.0,8175994193,99.0
3563,The Greatest Short Stories of Leo Tolstoy,by Leo Tolstoy,4.5,173.0,8184950314,189.0
3565,Mrs. Dalloway,by Virginia Woolf,4.2,33.0,8175994215,99.0
1235,Alice’s Adventures in Wonderland,by Lewis Carroll,4.0,119.0,8175992980,89.0
3596,The Origin of Species,by Charles Darwin,4.3,214.0,8172344880,189.0
3305,Goodnight Moon,by Margaret Wise Brown,3.9,190.0,1509829466,107.0
1,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009.0,8172345666,75.0
1306,Suppandi - 3: The Laughter Never Ends,by Rajani Thindiath,4.7,59.0,9350853736,76.0
3911,Tantri the Mantri - 4,by Rajani Thindiath,4.0,7.0,9350853701,76.0
3954,Bāhubali: Battle of the Bold,by Graphic India,3.7,55.0,9386224658,95.0
4003,Geronimo Stilton #64: The Magical Mission,by Geronimo Stilton,4.4,91.0,9386106256,272.0
4118,Objective Computer Awareness,by Arihant Experts,4.0,171.0,9311121266,78.0
4123,A Handbook on Computer Science & IT - Illustrated Formulae & Key Theory Concepts,by Made Easy Editorial Board,4.0,180.0,9383643242,247.0
4140,Handbook of Computer Science & IT,by Surbhi Mitra,3.9,193.0,9350944308,190.0
4145,CCC (Course on Computer Concepts) Study Guide,by Arihant Experts,4.3,44.0,9311124559,147.0
4146,Computer Knowledge for SBI/IBPS Clerk/PO/RRB/RBI/SSC... Exams,by Shikha Agarwal,3.5,46.0,9386320177,93.0
4157,19 years GATE Computer Science & Information Technology Chapter-wise & Topic-wise...,by Disha Experts,3.8,5.0,9388026764,175.0
4162,Computer System Architecture 3e (Update) by Pearson,by Mano M Morris,4.3,102.0,9332585601,446.0
4174,CBSE Computer Science Chapterwise Solved Papers  Class 12 for 2018-2019,by Arihant Expert,4.4,27.0,9313161486,232.0
4189,CBSE All  In One Computer Science CBSE Class 12 for 2018 - 19,by K. Ganesh Ayyer,4.2,19.0,9312149091,232.0
4193,"Computer Networks, 5e (5th Edition)",by Tanenbaum,4.2,61.0,9332518742,493.0
4205,CCC (Course on Computer Concepts),by Arihant Experts,3.8,41.0,9311124567,94.0
4209,Oswaal ICSE Question Bank Class 10 Computer Application Chapterwise and Topicwise...,by Oswaal Editorial Board,3.7,11.0,9387504743,75.0
4241,Super Speed Computer Course,by Shashank Johari,3.9,12.0,8173158762,250.0
4256,Comdex Hardware and Networking Course Kit: Revised & Upgraded,by Vikas Gupta,4.0,16.0,9351192652,379.0
4270,Object-Oriented Programming with C++,by E Balagurusamy,4.5,73.0,9352607996,371.0
4305,Programming and Problem Solving with Python,by Ashok Namdev Kamthane,4.8,6.0,9387067572,519.0
2264,General Knowledge,Not Available,4.4 out of 5 stars,"2,035",9384761540,156.0
4324,Oswaal CBSE Question Bank Class 10 Social Science Chapterwise and Topicwise (...,by Oswaal Editorial Board,4.7,167.0,9387504921,320.0
4325,Olympiad Champs Cyber Class 1 with Past Olympiad Questions,by Disha Experts,5.0,1.0,9388240278,90.0
4360,"Computer Fundamentals, 1e",by Goel,4.2,43.0,8131733092,349.0
4365,Electronics and Communication Engineering GATE 2019,by Ankit Goel,4.1,14.0,9312148222,669.0
4411,Brain Games for Clever Kids (Buster Brain Games),by Gareth Moore,4.6,37.0,1780552491,188.0
917,Refreshing Mandala - Colouring Book for Adults Book 3,by Dreamland Publications,4.4,36.0,9350899175,175.0
962,Rejuvenate Yourself - Floral Patterns,by Dreamland Publications,4.3,59.0,9350899477,140.0
1,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009.0,8172345666,75.0
1221,Murder in a Minute,by Shouvik Bhattacharya,4.4,277.0,9386643723,188.0
4680,The Perfect Murder,by Ruskin Bond - Import,3.8,56.0,8129144972,195.0
1395,Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic...,by J.K. Rowling,4.8,52.0,1408711702,434.0
4683,3 and a Half Murders: An Inspector Saralkar Mystery,by Salil Desai,4.4,69.0,8175994258,189.0
4695,I Am Watching You,by Teresa Driscoll,4.0,46.0,1542046599,269.0
4697,Born a Crime: Stories from a South African Childhood,by Trevor Noah,4.8,143.0,1473635306,388.0
11,Tell Me your Dreams,by Sidney Sheldon,4.4,160.0,8172234902,209.0
4741,The Other Side of Midnight,by Sidney Sheldon,4.3,53.0,8172234937,209.0
4776,Nothing Lasts Forever,by Sidney Sheldon,4.2,84.0,8172234856,266.0
1320,Bloodline,by Sidney Sheldon,4.3,67.0,8172234864,280.0
4976,Harry Potter and the Goblet of Fire (Harry Potter 4),by J.K. Rowling,4.7,322,1408855682,524.0
4989,Peaks and Valleys,by Spencer Johnson,4.4,28,1847396488,109.0
4994,Attitude Is Everything (Pentagon Press),by Jeff Keller,4.3,40,8182747252,166.0
1,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009.0,8172345666,75.0
2257,"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.3 out of 5 stars,143,9387944891,199.0
2276,Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.6 out of 5 stars,748,9351772071,105.0
2763,Miracles of Your Mind,by Dr. Joseph Murphy,4.2,218.0,8183225101,72.0
5322,Dork Diaries Frenemies Forever,by Rachel Renee Russell,4.6,70.0,1471158039,182.0
5325,Dork Diaries: Holiday Heartbreak,by Rachel Renee Russell - Import,4.8,45.0,1471144771,254.0
5336,Dork Diaries,by Rachel Renee Russell,4.6,49.0,1471168018,202.0
5410,Dork Diaries: TV Star,by Rachel Renee Russell - Import,4.8,37.0,1471143953,308.0
3165,Marketing 4.0: Moving from Traditional to Digital,by Philip Kotler,4.2,50.0,8126566930,298.0
5570,"Understanding Exposure, Fourth Edition",by BRYAN PETERSON,4.5,48.0,1607748509,633.0
5599,The Digital Photography Handbook: An Illustrated Step-by-step Guide,by Doug Harman - Import,4.0,1.0,1786481324,437.0
5618,"Big Data: A Revolution That Will Transform How We Live, Work and Think",by Viktor Mayer-Schonberger,3.8,57.0,1848547927,255.0
5622,Photography: The Definitive Visual History,by Tom Ang,5.0,2.0,1409346455,1.0
5636,Stretch Your Technology Email,by Ankit Fadia,4.1,14.0,9385152459,77.0
5644,Digital Photography for Beginners: Photography Essentials Basics Lessons Course...,by Angela Pierce,1.0,5.0,1681858711,349.0
5810,Valley of Genius,by Adam Fisher,5.0,2.0,1538714493,510.0
2969,IIMA - Day to Day Economics,by Satish Y. Deodhar,4.4,314.0,8184001630,173.0
2981,I Do What I Do,by Raghuram G. Rajan,4.3,313.0,9352770145,363.0
5860,So You Want to Know About Economics,by Roopa Pai - Import,4.7,65.0,8129145197,195.0
5861,Fault Lines : How Hidden Fractures Still Threaten The World Economy,by Raghuram Rajan,4.7,139.0,9350291738,421.0
5866,UGC NET Economics,by Sunder Gopal Mishra,4.2,14.0,9312146440,469.0
5894,15 Sample Question Papers Economics Class 12th CBSE,by Arihant Experts,4.5,2.0,9313166046,200.0
2272,24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),Disha Experts,4.3 out of 5 stars,220,9388026586,270.0
5941,CBSE All  In One Economics Class 11 for 2018 - 19,by Arihant Experts,3.6,17.0,9312148389,264.0
5943,CBSE Chapterwise Solved Papers Economics Class 12 for 2018-2019,by Arihant Expert,4.3,17.0,9313161451,159.0
2259,General Knowledge 2019,Manohar Pandey,4.2 out of 5 stars,515,9312147307,19.0
5959,15 Sample Question Papers Economic Class 11th CBSE,by Arihant Expert,3.0,1.0,9313166208,109.0
5961,KVS PGT Self Preparation Guide Economics Recruitment Examination,by Arihant Experts,3.3,3.0,9312144960,228.0
5962,CBSE All  In One Economics CBSE Class 12 for 2018 - 19,by Arihant Experts,3.8,32.0,9312149083,210.0
6008,Objective Economics (वस्तुनिष्ठ अर्थशास्त्र),by Sanjay Kumar,3.4,8.0,9350126672,135.0
6013,Mastering the Market Cycle: Getting the Odds on Your Side,by Howard Marks,4.1,15.0,1473680379,616.0
6020,Indian Economy,by Gaurav  Datt,3.6,48.0,9352531299,499.0
6021,EAD 15+1 cbse sample papers for class 12 Economics for 2019 examination,by Rachna Sagar,3.0,2.0,9387984532,189.0
2955,The Business School,by Robert T. Kiyosaki,4.5,216.0,8186775811,108.0
4324,Oswaal CBSE Question Bank Class 10 Social Science Chapterwise and Topicwise (...,by Oswaal Editorial Board,4.7,167.0,9387504921,320.0
2257,"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.3 out of 5 stars,143,9387944891,199.0
6058,Xam Idea Economics Class 12 for 2019 Exam,by VK Global Publications Pvt. Ltd.,3.1,4.0,9387958477,390.0
6101,The Most Important Thing: Uncommon Sense for The Thoughtful Investor,by Howard Marks - Import,4.7,30.0,9353022797,238.0
6113,Capital (Das Kapital),by Karl Marx,4.5,48.0,8175994142,299.0
6117,India After Gandhi: The History of the World's Largest Democracy,by Ramachandra Guha,4.5,232.0,9382616977,477.0
2960,Questions Are the Answers,by Allan Pease,4.4,226.0,8186775056,83.0
6132,Advanced Economic Theory,by H L Ahuja,3.3,23.0,9352533321,655.0
6161,The Failure Project: The Story of Man's Greatest Fear,by Kochhar,4.1,8.0,9352015789,231.0
3424,Children's Encyclopedia - The World of Knowledge: Familiarising Children with...,by V&S Editorial Board,4.0,112.0,9350571099,643.0
1174,The Animal Book: A Visual Encyclopedia of Life on Earth (Reference),by DK,4.8,19.0,1409323498,781.0
3433,Student's Encyclopedia of General Knowledge (General Press),by Azeem Ahmad Khan,4.1,189.0,9380914199,131.0
2290,The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,8179925919,111.0
6279,Objective Civil Engineering,by P.K. Mishra,3.5,37.0,8174827986,103.0
6289,Children's Science Encyclopedia (Hindi): Familiarises Children with Important...,by A.H Hashmi,3.3,4.0,9381588813,413.0
6335,First Encyclopedia of Animals (Usborne First Encyclopedias),by Paul Dowswell,5.0,2.0,1409522423,455.0
6386,"Horoscope 2019: Your Complete Forecast, Pisces",by Bejan Daruwalla,,,9353024064,61.0
6391,Tarot Predictions 2019,by Karmel Nair - Import,5.0,11.0,9353020123,183.0
6402,"National Geographic Answer Book: 10,001 Fast Facts About Our World",by National Geographic,4.0,6.0,1426208928,750.0
6404,"Horoscope 2019: Your Complete Forecast, Scorpio",by Bejan Daruwalla,4.0,1.0,9353024226,74.0
6422,Quick General Knowledge 2018 with Current Affairs Update,by Disha Experts,3.4,90.0,9386323567,37.0
6431,5 Lb. Book of Gre Practice Problems (Manhattan Prep 5 lb Series),by Manhattan Prep,4.6,151.0,1506247598,1.0
2922,Prep Guide To BITSAT 2019,by Arihant Expert,4.1,19.0,9313163802,497.0
6435,NEET Prep Guide 2019 with free Revision Points Booklet,by Arihant Expert,4.5,7.0,9313162539,685.0
6448,Legal Awareness and Legal Reasoning: For CLAT and Other Law Entrance Examinations...,by A. P. Bhardwaj,4.4,46.0,9352864964,412.0
6508,50 Successful Harvard Application Essays: What Worked for Them Can Help You Get...,by Harvard Crimson,5.0,4.0,1250127556,319.0
6676,"CISSP All-in-One Exam Guide, Eighth Edition",by Shon Harris - Import,3.7,11.0,1260142655,4.0
6735,Family Wisdom From The Monk Who Sold His Ferrari,by Robin Sharma,4.3,72.0,8179922308,214.0
6741,You are My Reason to Smile,by Arpit Vageria,4.4,470.0,9382665889,88.0
6745,Her Last Wish,by Ajay K. Pandey,4.7,1010.0,9382665870,88.0
6780,Peppa Pig: My Daddy,by Peppa Pig,4.1,19.0,1409309061,237.0
6784,Family Wisdom,by Robin Sharma,4.3,3.0,8184951914,166.0
6796,When Breath Becomes Air,by Paul Kalanithi,4.6,626.0,1847923674,332.0
6800,"Men are from Mars, Women are from Venus",by John Gray,4.4,427.0,8172235038,209.0
2326,Emotion and Relationships,Sadhguru,4.7 out of 5 stars,124,9386867508,138.0
2554,Ivory Throne: Chronicles of the House of Travancore,by Manu S. Pillai,4.3,127.0,9351776425,433.0
6809,Rich Dad Poor Dad (tamil),by Robert T Kiyosaki,4.5,361.0,8183223753,203.0
1262,Harry Potter and the Philosopher's Stone,by J.K. Rowling,4.7,1097.0,1408855658,299.0
6840,What to Expect When You're Expecting,by Heidi Murkoff,4.4,71.0,1471147533,521.0
2285,"Don't Lose Your Mind, Lose Your Weight",Rujuta Diwekar,4.5 out of 5 stars,"1,003",8184001053,118.0
1262,Harry Potter and the Philosopher's Stone,by J.K. Rowling,4.7,1097.0,1408855658,299.0
6840,What to Expect When You're Expecting,by Heidi Murkoff,4.4,71.0,1471147533,521.0
2285,"Don't Lose Your Mind, Lose Your Weight",Rujuta Diwekar,4.5 out of 5 stars,"1,003",8184001053,118.0
6881,Light on Yoga: The Classic Guide to Yoga by the World's Foremost Authority,by B.K.S. Iyengar,4.5,316.0,8172235011,298.0
1407,Harry Potter and the Chamber of Secrets (Harry Potter 2),by J.K. Rowling,4.7,562.0,1408855666,374.0
2784,The Leader Who Had No Title,by Robin Sharma,4.4,393.0,8184951191,189.0
1460,Harry Potter and the Prisoner of Azkaban (Harry Potter 3),by J.K. Rowling,4.4,474.0,1408855674,374.0
6929,How to Talk So Kids Will Listen and Listen So Kids Will Talk,by Adele Faber,4.7,86.0,1848126328,255.0
5322,Dork Diaries Frenemies Forever,by Rachel Renee Russell,4.6,70.0,1471158039,182.0
6933,Tell Tale,by Jeffrey Archer,4.4,133.0,1509867767,269.0
6935,Ayurvediya Garbh Sanskar (Marathi),by Shree Balaji Tambe,4.5,408.0,9380571089,601.0
1593,"Ready, Study, Go!: Smart Ways to Learn",by Khurshed Batliwala,4.5,444.0,9352641345,178.0
6958,Harry Potter and the Order of the Phoenix (Harry Potter 5),by J.K. Rowling,4.5,304.0,1408855690,599.0
6960,The Great Indian Diet,by Shilpa Shetty Kundra,4.0,380.0,8184007485,161.0
6988,One-Minute Super Dad: 99 Magic Moments to Raise Amazing Children,by Dr Prashant Jindal,4.6,44.0,9352774531,157.0
6997,Imagine: No Child Left Invisible,by Shelja Sen,4.8,9.0,9352773268,300.0
3549,Metamorphosis,by Franz Kafka,4.2,198.0,8172345135,69.0
1,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009.0,8172345666,75.0
7035,The Ship of Secrets (Geronimo Stilton and the Kingdom of Fantasy #10),by Geronimo Stilton,4.8,151.0,9386313774,374.0
1288,The Dragon of Fortune (Geronimo Stilton and the Kingdom of Fantasy: Special Edition...,by Geronimo Stilton,4.6,285.0,9352751183,510.0
1271,Geronimo Stilton and the Kingdom of Fantasy #8 - The Hour of Magic,by Geronimo Stilton,4.6,329.0,9385887815,274.0
7040,Dharmayoddha Kalki: Avatar of Vishnu (Book 1),by Kevin Missal,4.2,226.0,8193503309,179.0
7049,Kingdom of Fantasy #6: The Search for Treasure (Geronimo Stilton - Kingdom of...,by Geronimo Stilton,4.6,162.0,9351033147,350.0
7054,Geronimo Stilton and the Kingdom of Fantasy #7: The Enchanted Charms,by Geronimo Stilton - Illustrated,4.7,182.0,9351035492,373.0
7068,Geronimo Stilton Se: The Journey through Time,by Geronimo Stilton,4.6,195.0,9351031934,371.0
1395,Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic...,by J.K. Rowling,4.8,52.0,1408711702,434.0
1315,Circe: The Sunday Times Bestseller,by Madeline Miller,4.3,47.0,1526603330,364.0
1218,The Rise of Sivagami: Book 1 of Baahubali - Before the Beginning,by Anand Neelakantan,4.1,793.0,9386224445,162.0
1374,The Secret Of The Nagas (Shiva Trilogy-2),by Amish Tripathi - Abridged,4.6,1681.0,9381626340,244.0
7109,Geronimo Stilton Journey Through Time 3,by Geronimo Stilton - Import,4.7,87.0,9351037703,392.0
7113,The Priory of the Orange Tree,by Samantha Shannon,,,1526612860,524.0
1023,Great Stories for Children,by Ruskin Bond,4.4,217.0,8129118920,182.0
1330,The Jungle Book (First Stories),by Miriam Bos,4.4,71.0,1509808361,224.0
7200,Harry Potter Aur Paras Patthar,by J.K. Rowling,4.7,115.0,8186775609,102.0
7201,The Blue Umbrella,by Ruskin Bond,4.4,350.0,8171673406,95.0
1376,The Oath of the Vayuputras (Shiva Trilogy),by Amish Tripathi,4.4,1608.0,9382618341,282.0
7255,The Last Avatar (Age of Kalki #1),by Vishwas Mudagal,4.2,17.0,9353024668,186.0
3317,365 Pancharantra Stories,by OM Books,4.1,180.0,8187107588,357.0
7279,Nursery Rhymes (My Jumbo Books),by Dreamland Publications,4.5,85.0,8184516207,140.0
7298,Nagargalin Ragayasam - The Secret of the Nagas (Tamil),by Amish Tripathi,4.5,147.0,9384030538,181.0
2268,The Alchemist,Paulo Coelho,4.6 out of 5 stars,"3,820",8172234988,182.0
981,This Is Not Your Story,by Savi Sharma,4.5,2177.0,9386224399,100.0
2255,The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"4,977",8192910962,65.0
6933,Tell Tale,by Jeffrey Archer,4.4,133.0,1509867767,269.0
2754,Veronika Decides to Die,by Paulo Coelho,4.4,202.0,8172235437,186.0
2307,The Great Gatsby,F. Scott Fitzgerald,4.1 out of 5 stars,338,8172344562,47.0
2607,A Thousand Splendid Suns,by Khaled Hosseini,4.5,729.0,1408844443,374.0
6745,Her Last Wish,by Ajay K. Pandey,4.7,1010.0,9382665870,88.0
2302,1984,George Orwell,4.4 out of 5 stars,738,8192910903,88.0
1449,Keepers of the Kalachakra: Book 5 in the Bharat Series of Historical and Mythological...,by Ashwin Sanghi,4.0,472.0,9386850648,100.0
3596,The Origin of Species,by Charles Darwin,4.3,214.0,8172344880,189.0
1261,Harappa - Curse of the Blood River,by Vineet Bajpai,4.1,680.0,9352685482,185.0
1208,Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,4.1,4651.0,9385152149,240.0
3547,Jane Eyre,by Charlotte Bronte,4.3,183.0,8193387619,88.0
2348,One Indian Girl,Chetan Bhagat,3.6 out of 5 stars,"4,929",8129142147,96.0
2476,Pride & Prejudice,by Jane Austen,4.3,352.0,8172344503,79.0
7353,Everyone Has A Story,by Savi Sharma,4.1,3372.0,9386036754,100.0
7201,The Blue Umbrella,by Ruskin Bond,4.4,350.0,8171673406,95.0
3554,Three Men in a Boat,by Jerome K. Jerome,4.3,201.0,8172344430,99.0
2288,Life is What You Make It,Preeti Shenoy,4.0 out of 5 stars,"2,859",9380349300,75.0
1132,Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,4.3,1817.0,9386224585,226.0
2304,Who Will Cry When You Die?,Robin Sharma,4.4 out of 5 stars,"2,795",8179922324,103.0
1154,Eleven Minutes,by Paulo Coelho,4.2,234.0,8172235631,167.0
7375,Rabindranath Tagore - Selected Short Stories (Master's Collections),by Rabindranath Tagore,4.1,164.0,9380816049,86.0
3549,Metamorphosis,by Franz Kafka,4.2,198.0,8172345135,69.0
1407,Harry Potter and the Chamber of Secrets (Harry Potter 2),by J.K. Rowling,4.7,562.0,1408855666,374.0
1218,The Rise of Sivagami: Book 1 of Baahubali - Before the Beginning,by Anand Neelakantan,4.1,793.0,9386224445,162.0
3563,The Greatest Short Stories of Leo Tolstoy,by Leo Tolstoy,4.5,173.0,8184950314,189.0
6741,You are My Reason to Smile,by Arpit Vageria,4.4,470.0,9382665889,88.0
7392,Be My Perfect Ending,by Arpit Vageria,4.4,204.0,9387022080,87.0
7393,She Friend - Zoned My Love,by Sudeep Nagarkar,4.6,248.0,9385990004,112.0
2601,I Tagged Her in My Heart,by Anuj Tiwari - Import,4.7,224.0,8129149567,100.0
1374,The Secret Of The Nagas (Shiva Trilogy-2),by Amish Tripathi - Abridged,4.6,1681.0,9381626340,244.0
1021,The Perks of Being a Wallflower,by Stephen Chbosky,4.4,306.0,1451696191,186.0
4741,The Other Side of Midnight,by Sidney Sheldon,4.3,53.0,8172234937,209.0
7428,Rumi A New Translation,by Farrukh Dhondy,4.1,67.0,9350290820,238.0
1023,Great Stories for Children,by Ruskin Bond,4.4,217.0,8129118920,182.0
7443,A Hundred Little Flames,by Preeti Shenoy,4.7,426.0,9386850427,299.0
2283,The Forest of Enchantments,Chitra Banerjee Divakaruni,4.6 out of 5 stars,8,9353025982,373.0
3562,Macbeth,by William Shakespeare,4.3,89.0,8175994193,99.0
7453,The 3 Mistakes of My Life,by Chetan Bhagat,4.3,615.0,8129135515,101.0
7454,One Night @ The Call Centre,by Chetan Bhagat,4.0,595.0,8129135507,106.0
7459,21 Anmol Kahaniyaa (Premchand),by Premchand,4.5,85.0,9350336618,119.0
7464,War & Peace,by Leo Tolstoy,4.3,103.0,8175992832,279.0
1488,The Secret of the Druids (Mahabharata Quest Series Book 2),by Christopher C. Doyle,4.1,273.0,9385724223,179.0
7469,Masterpieces of World Fiction: Selected Stories By  LEO TOLSTOY,by LEO TOLSTOY,4.4,9.0,8129131498,140.0
1395,Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic...,by J.K. Rowling,4.8,52.0,1408711702,434.0
7478,Think and Grow Rich,by Napoleon Hill,4.6,3611.0,9350330954,166.0
7482,Little Women,by Louisa May Alcott,4.3,136.0,8175992905,169.0
7485,It's All in the Planets,by Preeti Shenoy,4.3,403.0,9386036452,167.0
1376,The Oath of the Vayuputras (Shiva Trilogy),by Amish Tripathi,4.4,1608.0,9382618341,282.0
7493,Dracula,by Bram Stoker,4.2,156.0,8172344775,99.0
7497,Mistress of the Throne: The Mughal Intrigues,by Ruchir Gupta,4.1,71.0,9382665072,150.0
7506,No Matter What I Do: I end up Falling for You,by Devanshi Sharma,4.2,216.0,9382665846,88.0
7508,The Right Time,by Danielle Steel,3.6,4.0,1509881336,211.0
7513,Chanakya's Chant: Book 2 in the Bharat Series of Historical and Mythological...,by Ashwin Sanghi,4.1,585.0,9381626812,244.0
7521,Shivagami Kadha  Bahubali  Bhagam 1: The Rise Of Sivagami Telugu,by Anand Neelakantan,3.6,28.0,9386224607,255.0
7529,Poonachi: Or the Story of a Black Goat,by Perumal Murugan,4.5,121.0,9386850494,114.0
1360,Swami and Friends,by R. K. Narayan,4.6,204.0,8185986002,114.0
7550,Nothing Lasts Forever,by Vish Dhamija,3.9,254.0,9380349246,105.0
2803,Tom Gates Book #3: Everythings Amazing,by Tom Gates,4.8,55.0,9351033015,157.0
7570,The Dramatic Decade: The Indira Gandhi Years,by Pranab Mukherjee,3.7,225.0,8129135744,199.0
1320,Bloodline,by Sidney Sheldon,4.3,67.0,8172234864,280.0
11,Tell Me your Dreams,by Sidney Sheldon,4.4,160.0,8172234902,209.0
7598,The Secret,by Rhonda Byrne,4.5,1610.0,1471172392,538.0
7040,Dharmayoddha Kalki: Avatar of Vishnu (Book 1),by Kevin Missal,4.2,226.0,8193503309,179.0
7618,In the Blink of An Eye: 2nd Edition,by Walter Murch,4.3,28.0,1879505622,829.0
7623,Our Films Their Films (Disha),by Ray,4.7,14.0,8125015655,371.0
7625,Deep Focus: Reflections on Cinema,by Satyajit Ray,4.5,30.0,9351360016,188.0
7646,I am The Mind,by Deep Trivedi,4.1,172.0,9384850098,236.0
7766,The Pather Panchali Sketchbook,by Satyajit Ray,4.9,21.0,9351779335,874.0
1395,Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic...,by J.K. Rowling,4.8,52.0,1408711702,434.0
2264,General Knowledge,Not Available,4.4 out of 5 stars,"2,035",9384761540,156.0
2259,General Knowledge 2019,Manohar Pandey,4.2 out of 5 stars,515,9312147307,19.0
2351,Current Affairs Yearly  2019,Not Available,5.0 out of 5 stars,3,9313169886,124.0
7897,General Knowledge Aptitude and Logical Thinking for AIIMS,by Sunil Nain,4.5,57.0,9387351416,116.0
3433,Student's Encyclopedia of General Knowledge (General Press),by Azeem Ahmad Khan,4.1,189.0,9380914199,131.0
6422,Quick General Knowledge 2018 with Current Affairs Update,by Disha Experts,3.4,90.0,9386323567,37.0
2280,Lucent's General Science (2018-2019) Session,Not Available,4.1 out of 5 stars,220,9384761141,150.0
2290,The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,8179925919,111.0
2344,Objective General English,S.P. Bakshi,4.2 out of 5 stars,"1,771",9351768449,154.0
1955,Disha Children's Yearbook 2018 - General Knowledge Fundamentals and Current Affairs,by Disha Experts,4.7,7.0,9387421007,203.0
2350,How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,4.5 out of 5 stars,627,8175993952,88.0
4118,Objective Computer Awareness,by Arihant Experts,4.0,171.0,9311121266,78.0
7985,AIIMS General Knowledge with Logical Thinking with Monthly Current Affairs Update...,by Disha Experts,3.8,19.0,9386629771,120.0
3424,Children's Encyclopedia - The World of Knowledge: Familiarising Children with...,by V&S Editorial Board,4.0,112.0,9350571099,643.0
2266,Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.1 out of 5 stars,"3,310",9352534026,427.0
8029,Know Your State - Himachal Pradesh,by Arihant Experts,4.1,16.0,9350947900,185.0
2272,24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),Disha Experts,4.3 out of 5 stars,220,9388026586,270.0
8043,Banking Awareness for SBI & IBPS Bank Clerk/PO/RRB/RBI Exams,by Disha Experts,4.5,6.0,9388240944,147.0
2312,NTA UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude by Pearson,KVS Madaan,4.4 out of 5 stars,505,9332551731,216.0
8069,"CDS 12 Years Topic-wise Solved Papers Mathematics, English & General Knowledge...",by Disha Experts,3.8,10.0,9387421627,363.0
8084,Lucents Samanya Hindi : Pratiyogi Parikshaon Ke Leye,by .,4.2,33.0,9384761168,190.0
2363,Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,by Mahatma Gandhi,4.4,247.0,8172343116,99.0
8104,Madhya Pradesh General Knowledge - At A Glance,by C.L. Khanna,3.3,9.0,9350132389,85.0
2274,How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"2,640",8192910997,79.0
8130,Relativity: The Special and the General Theory (General Press),by Albert Einstein,4.4,430.0,9380914229,146.0
3011,Copycat Marketing 101,by Burke Hedges,4.2,206.0,8182744466,90.0
1524,The Art of War,by Sun Tzu,4.3,76.0,8184950888,175.0
2285,"Don't Lose Your Mind, Lose Your Weight",Rujuta Diwekar,4.5 out of 5 stars,"1,003",8184001053,118.0
8184,The Wellness Sense: A Practical Guide to your Physical and Emotional Health Based...,by Om Swami,4.8,334.0,9351772624,178.0
8186,Indian Superfoods: Change the Way You Eat,by Rujuta Diwekar,4.1,305.0,8193237234,269.0
8187,A Taste of Well-Being: Sadhguru's Insights for Your Gastronomics,by Isha Foundation,4.3,180.0,9351363783,172.0
6960,The Great Indian Diet,by Shilpa Shetty Kundra,4.0,380.0,8184007485,161.0
1,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009.0,8172345666,75.0
2304,Who Will Cry When You Die?,Robin Sharma,4.4 out of 5 stars,"2,795",8179922324,103.0
